Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected
0,"Feb 15, 2020",0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0
27,"Mar 13, 2020",0,0,0,0,0
28,"Mar 14, 2020",0,0,0,0,0
29,"Mar 15, 2020",0,0,0,0,0
30,"Mar 16, 2020",0,0,0,0,0
31,"Mar 17, 2020",0,0,0,0,0
32,"Mar 18, 2020",0,0,0,0,0
33,"Mar 19, 2020",0,0,0,0,0
34,"Mar 20, 2020",0,0,0,0,0
35,"Mar 21, 2020",1,0,0,0,1
36,"Mar 22, 2020",1,0,0,0,1
37,"Mar 23, 2020",1,0,0,0,1
38,"Mar 24, 2020",1,0,0,0,1
39,"Mar 25, 2020",1,0,0,0,1
40,"Mar 26, 2020",1,0,0,0,1
41,"Mar 27, 2020",1,0,0,0,1
42,"Mar 28, 2020",1,0,0,0,1
43,"Mar 29, 2020",1,0,0,0,1
44,"Mar 30, 2020",1,0,0,0,1
45,"Mar 31, 2020",1,0,0,0,1
46,"Apr 01, 2020",1,0,0,0,1
47,"Apr 02, 2020",1,0,0,0,1
48,"Apr 03, 2020",1,0,0,0,1
49,"Apr 04, 2020",1,0,0,0,1
50,"Apr 05, 2020",1,0,0,0,1
51,"Apr 06, 2020",1,0,0,0,1
52,"Apr 07, 2020",1,0,0,0,1
53,"Apr 08, 2020",1,0,0,0,1
54,"Apr 09, 2020",1,0,0,0,1
55,"Apr 10, 2020",2,1,0,0,1
56,"Apr 11, 2020",2,0,1,0,1
57,"Apr 12, 2020",2,0,0,0,1
58,"Apr 13, 2020",4,2,1,1,3
59,"Apr 14, 2020",6,2,1,1,5
60,"Apr 15, 2020",8,2,2,1,7
61,"Apr 16, 2020",18,10,5,2,17
62,"Apr 17, 2020",18,0,4,2,17
63,"Apr 18, 2020",18,0,3,3,17
64,"Apr 19, 2020",19,1,0,2,18
65,"Apr 20, 2020",22,3,2,3,21
66,"Apr 21, 2020",23,1,1,2,22
67,"Apr 22, 2020",23,0,2,2,22
68,"Apr 23, 2020",23,0,0,1,22
69,"Apr 24, 2020",24,1,0,1,22
70,"Apr 25, 2020",24,0,1,1,22
71,"Apr 26, 2020",24,0,0,0,22
72,"Apr 27, 2020",24,0,0,1,22
73,"Apr 28, 2020",24,0,0,0,18
74,"Apr 29, 2020",24,0,0,0,18
75,"Apr 30, 2020",24,0,0,0,8
76,"May 01, 2020",24,0,0,0,8
77,"May 02, 2020",24,0,0,0,8
78,"May 03, 2020",24,0,0,0,8
79,"May 04, 2020",24,0,0,0,4
80,"May 05, 2020",24,0,0,0,4
81,"May 06, 2020",24,0,0,0,4
82,"May 07, 2020",24,0,0,0,3
83,"May 08, 2020",24,0,0,0,3
84,"May 09, 2020",24,0,0,0,3
85,"May 10, 2020",24,0,0,0,3
86,"May 11, 2020",24,0,0,0,3
87,"May 12, 2020",24,0,0,0,3
88,"May 13, 2020",24,0,0,0,3
89,"May 14, 2020",24,0,0,0,3
90,"May 15, 2020",24,0,0,0,0
91,"May 16, 2020",24,0,0,0,0
92,"May 17, 2020",24,0,0,0,0
93,"May 18, 2020",24,0,0,0,0
94,"May 19, 2020",24,0,0,0,0
95,"May 20, 2020",24,0,0,0,0
96,"May 21, 2020",24,0,0,0,0
97,"May 22, 2020",24,0,0,0,0
98,"May 23, 2020",24,0,0,0,0
99,"May 24, 2020",24,0,0,0,0
100,"May 25, 2020",24,0,0,0,0
101,"May 26, 2020",24,0,0,0,0
102,"May 27, 2020",24,0,0,0,0
103,"May 28, 2020",24,0,0,0,0
104,"May 29, 2020",24,0,0,0,0
105,"May 30, 2020",24,0,0,0,0
106,"May 31, 2020",24,0,0,0,0
107,"Jun 01, 2020",24,0,0,0,0
108,"Jun 02, 2020",24,0,0,0,0
109,"Jun 03, 2020",24,0,0,0,0
110,"Jun 04, 2020",24,0,0,0,0
111,"Jun 05, 2020",24,0,0,0,0
112,"Jun 06, 2020",24,0,0,0,0
113,"Jun 07, 2020",24,0,0,0,0
114,"Jun 08, 2020",24,0,0,0,0
115,"Jun 09, 2020",24,0,0,0,0
116,"Jun 10, 2020",24,0,0,0,0
117,"Jun 11, 2020",24,0,0,0,0
118,"Jun 12, 2020",24,0,0,0,0
119,"Jun 13, 2020",24,0,0,0,0
120,"Jun 14, 2020",24,0,0,0,0
121,"Jun 15, 2020",24,0,0,0,0
122,"Jun 16, 2020",24,0,0,0,0
123,"Jun 17, 2020",24,0,0,0,0
124,"Jun 18, 2020",24,0,0,0,0
125,"Jun 19, 2020",24,0,0,0,0
126,"Jun 20, 2020",24,0,0,0,0
127,"Jun 21, 2020",24,0,0,0,0
128,"Jun 22, 2020",24,0,0,0,0
129,"Jun 23, 2020",24,0,0,0,0
130,"Jun 24, 2020",24,0,0,0,0
131,"Jun 25, 2020",24,0,0,0,0
132,"Jun 26, 2020",24,0,0,0,0
133,"Jun 27, 2020",24,0,0,0,0
134,"Jun 28, 2020",24,0,0,0,0
135,"Jun 29, 2020",24,0,0,0,0
136,"Jun 30, 2020",24,0,0,0,0
137,"Jul 01, 2020",24,0,0,0,0
138,"Jul 02, 2020",24,0,0,0,0
139,"Jul 03, 2020",24,0,0,0,0
140,"Jul 04, 2020",24,0,0,0,0
141,"Jul 05, 2020",24,0,0,0,0
142,"Jul 06, 2020",24,0,0,0,0
143,"Jul 07, 2020",24,0,0,0,0
144,"Jul 08, 2020",24,0,0,0,0
145,"Jul 09, 2020",24,0,0,0,0
146,"Jul 10, 2020",24,0,0,0,0
147,"Jul 11, 2020",24,0,0,0,0
148,"Jul 12, 2020",24,0,0,0,0
149,"Jul 13, 2020",24,0,0,0,0
150,"Jul 14, 2020",24,0,0,0,0
151,"Jul 15, 2020",24,0,0,0,0
152,"Jul 16, 2020",24,0,0,0,0
153,"Jul 17, 2020",24,0,0,0,0
154,"Jul 18, 2020",24,0,0,0,0
155,"Jul 19, 2020",24,0,0,0,0
156,"Jul 20, 2020",24,0,0,0,0
157,"Jul 21, 2020",24,0,0,0,0
158,"Jul 22, 2020",24,0,0,0,0
159,"Jul 23, 2020",24,0,0,0,0
160,"Jul 24, 2020",24,0,0,0,0
161,"Jul 25, 2020",24,0,0,0,0
162,"Jul 26, 2020",24,0,0,0,0
163,"Jul 27, 2020",24,0,0,0,0
164,"Jul 28, 2020",24,0,0,0,0
165,"Jul 29, 2020",24,0,0,0,0
166,"Jul 30, 2020",24,0,0,0,0
167,"Jul 31, 2020",24,0,0,0,0
168,"Aug 01, 2020",24,0,0,0,0
169,"Aug 02, 2020",24,0,0,0,0
170,"Aug 03, 2020",24,0,0,0,0
171,"Aug 04, 2020",25,1,0,0,1
172,"Aug 05, 2020",25,0,1,0,1
173,"Aug 06, 2020",25,0,0,0,1
174,"Aug 07, 2020",25,0,0,1,1
175,"Aug 08, 2020",25,0,0,0,1
176,"Aug 09, 2020",25,0,0,0,1
177,"Aug 10, 2020",25,0,0,0,1
178,"Aug 11, 2020",25,0,0,0,1
179,"Aug 12, 2020",25,0,0,0,1
180,"Aug 13, 2020",25,0,0,0,1
181,"Aug 14, 2020",25,0,0,0,1
182,"Aug 15, 2020",25,0,0,0,1
183,"Aug 16, 2020",25,0,0,0,1
184,"Aug 17, 2020",25,0,0,0,1
185,"Aug 18, 2020",25,0,0,0,1
186,"Aug 19, 2020",25,0,0,0,0
187,"Aug 20, 2020",26,1,0,0,1
188,"Aug 21, 2020",26,0,1,0,1
189,"Aug 22, 2020",26,0,0,0,1
190,"Aug 23, 2020",26,0,0,1,1
191,"Aug 24, 2020",26,0,0,0,1
192,"Aug 25, 2020",26,0,0,0,1
193,"Aug 26, 2020",26,0,0,0,1
194,"Aug 27, 2020",27,1,0,0,2
195,"Aug 28, 2020",27,0,1,0,2
196,"Aug 29, 2020",27,0,0,0,2
197,"Aug 30, 2020",27,0,0,1,2
198,"Aug 31, 2020",27,0,0,0,2
199,"Sep 01, 2020",27,0,0,0,2
200,"Sep 02, 2020",27,0,0,0,2
201,"Sep 03, 2020",27,0,0,0,2
202,"Sep 04, 2020",27,0,0,0,2
203,"Sep 05, 2020",27,0,0,0,2
204,"Sep 06, 2020",27,0,0,0,2
205,"Sep 07, 2020",27,0,0,0,2
206,"Sep 08, 2020",27,0,0,0,2
207,"Sep 09, 2020",27,0,0,0,2
208,"Sep 10, 2020",27,0,0,0,2
209,"Sep 11, 2020",27,0,0,0,2
210,"Sep 12, 2020",27,0,0,0,2
211,"Sep 13, 2020",27,0,0,0,2
212,"Sep 14, 2020",27,0,0,0,1
213,"Sep 15, 2020",27,0,0,0,1
214,"Sep 16, 2020",27,0,0,0,1
215,"Sep 17, 2020",27,0,0,0,1
216,"Sep 18, 2020",27,0,0,0,1
217,"Sep 19, 2020",27,0,0,0,1
218,"Sep 20, 2020",27,0,0,0,1
219,"Sep 21, 2020",27,0,0,0,0
220,"Sep 22, 2020",27,0,0,0,0
221,"Sep 23, 2020",27,0,0,0,0
222,"Sep 24, 2020",27,0,0,0,0
223,"Sep 25, 2020",27,0,0,0,0
224,"Sep 26, 2020",27,0,0,0,0
225,"Sep 27, 2020",27,0,0,0,0
226,"Sep 28, 2020",27,0,0,0,0
227,"Sep 29, 2020",28,1,0,0,0
228,"Sep 30, 2020",28,0,1,0,0
229,"Oct 01, 2020",28,0,0,0,0
230,"Oct 02, 2020",28,0,0,1,0
231,"Oct 03, 2020",28,0,0,0,0
232,"Oct 04, 2020",28,0,0,0,0
233,"Oct 05, 2020",28,0,0,0,0
234,"Oct 06, 2020",28,0,0,0,0
235,"Oct 07, 2020",28,0,0,0,0
236,"Oct 08, 2020",28,0,0,0,0
237,"Oct 09, 2020",28,0,0,0,0
238,"Oct 10, 2020",28,0,0,0,0
239,"Oct 11, 2020",28,0,0,0,0
240,"Oct 12, 2020",29,1,0,0,1
241,"Oct 13, 2020",29,0,1,0,1
242,"Oct 14, 2020",29,0,0,0,1
243,"Oct 15, 2020",29,0,0,1,1
244,"Oct 16, 2020",29,0,0,0,1
245,"Oct 17, 2020",29,0,0,0,1
246,"Oct 18, 2020",29,0,0,0,1
247,"Oct 19, 2020",29,0,0,0,1
248,"Oct 20, 2020",29,0,0,0,1
249,"Oct 21, 2020",29,0,0,0,1
250,"Oct 22, 2020",29,0,0,0,1
251,"Oct 23, 2020",29,0,0,0,1
252,"Oct 24, 2020",29,0,0,0,1
253,"Oct 25, 2020",29,0,0,0,1
254,"Oct 26, 2020",30,1,0,0,2
255,"Oct 27, 2020",30,0,1,0,1
256,"Oct 28, 2020",30,0,0,0,1
257,"Oct 29, 2020",30,0,0,1,1
258,"Oct 30, 2020",30,0,0,0,1
259,"Oct 31, 2020",30,0,0,0,1
260,"Nov 01, 2020",30,0,0,0,1
261,"Nov 02, 2020",30,0,0,0,1
262,"Nov 03, 2020",30,0,0,0,1
